Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
170.0,0.0002518743838479385,0.002621231979030144,0.06480563970442513,0.015946699551025924,F03790,170.0,47.428755,19.218998,"Pestszentlőrinc, Béke tér"
170.0,0.0002518743838479385,0.002621231979030144,0.06480563970442513,0.015946699551025924,F03791,170.0,47.429346,19.217836,"Pestszentlőrinc, Béke tér"
36.0,9.84967377601619e-06,0.0008737439930100481,0.06182643221781055,0.0024018745754865144,F03647,36.0,47.411011,19.19016,Vezér utca
36.0,9.84967377601619e-06,0.0008737439930100481,0.06182643221781055,0.0024018745754865144,F03648,36.0,47.410723,19.190543,Vezér utca
41.0,1.974708324444073e-06,0.0008737439930100481,0.058333333333333334,0.001555115690779339,F03687,41.0,47.413163,19.188416,Törvény utca
41.0,1.974708324444073e-06,0.0008737439930100481,0.058333333333333334,0.001555115690779339,F03688,41.0,47.413772,19.188025,Törvény utca
38.0,9.865698093695482e-06,0.0008737439930100481,0.06192511632940158,0.002083205869053618,F03653,38.0,47.411541,19.198019,Damjanich utca
38.0,9.865698093695482e-06,0.0008737439930100481,0.06192511632940158,0.002083205869053618,F03654,38.0,47.411182,19.197263,Damjanich utca
78.0,4.7578652179183126e-05,0.001310615989515072,0.0657909864336629,0.006780093874898357,F03655,78.0,47.405035,19.198018,Szigeti Kálmán utca
78.0,4.7578652179183126e-05,0.001310615989515072,0.0657909864336629,0.006780093874898357,F03656,78.0,47.404215,19.198943,Szigeti Kálmán utca
40.0,4.0231976994535857e-07,0.0008737439930100481,0.05534065083893429,0.0007444547109297499,F03645,40.0,47.415402,19.186532,Szálfa utca
40.0,4.0231976994535857e-07,0.0008737439930100481,0.05534065083893429,0.0007444547109297499,F03646,40.0,47.415131,19.186915,Szálfa utca
43.0,1.1399590665661122e-07,0.0008737439930100481,0.053204100132487275,0.00011131521802616764,F03643,43.0,47.418773,19.182732,Kettős-Körös utca
43.0,1.1399590665661122e-07,0.0008737439930100481,0.053204100132487275,0.00011131521802616764,F03644,43.0,47.419583,19.18284,Kettős-Körös utca
42.0,1.8954297732951235e-07,0.0008737439930100481,0.05380185685744506,0.00028687869634193953,F03641,42.0,47.423128,19.189609,Péterhalmi út
42.0,1.8954297732951235e-07,0.0008737439930100481,0.05380185685744506,0.00028687869634193953,F03642,42.0,47.423353,19.189477,Péterhalmi út
49.0,8.702373629317381e-07,0.0008737439930100481,0.0567440938050026,0.0011287483455510387,F03635,49.0,47.430206,19.182735,Obszervatórium
49.0,8.702373629317381e-07,0.0008737439930100481,0.0567440938050026,0.0011287483455510387,F03636,49.0,47.429918,19.182827,Obszervatórium
44.0,5.667971760977295e-06,0.0008737439930100481,0.06223491027732463,0.003999436684226587,009480,44.0,47.433265,19.177803,Margó Tivadar utca
44.0,5.667971760977295e-06,0.0008737439930100481,0.06223491027732463,0.003999436684226587,009551,44.0,47.433123,19.176437,Margó Tivadar utca
47.0,4.329392792147906e-06,0.0017474879860200961,0.06007874015748031,0.0042091615353575815,F03633,47.0,47.43375,19.182943,Varjú utca
47.0,4.329392792147906e-06,0.0017474879860200961,0.06007874015748031,0.0042091615353575815,F03634,47.0,47.434083,19.182904,Varjú utca
67.0,2.509956646537499e-05,0.002621231979030144,0.06612740141557129,0.011851776441039142,056189,67.0,47.429484,19.168656,Ipacsfa utca
67.0,2.509956646537499e-05,0.002621231979030144,0.06612740141557129,0.011851776441039142,F03623,67.0,47.430145,19.169047,Ipacsfa utca
67.0,2.509956646537499e-05,0.002621231979030144,0.06612740141557129,0.011851776441039142,F03624,67.0,47.42992,19.168981,Ipacsfa utca
45.0,2.671734976167809e-05,0.0017474879860200961,0.06376577429868792,0.00078691598662077,F03620,45.0,47.433395,19.174344,Szent Lőrinc-telep
45.0,2.671734976167809e-05,0.0017474879860200961,0.06376577429868792,0.00078691598662077,F03621,45.0,47.433089,19.174369,Szent Lőrinc-telep
58.0,3.058820094046931e-05,0.001310615989515072,0.06301965750784648,0.000159464587254574,F03765,58.0,47.436554,19.172654,Fiatalság utca
58.0,3.058820094046931e-05,0.001310615989515072,0.06301965750784648,0.000159464587254574,F03766,58.0,47.436733,19.173503,Kinizsi Pál utca
46.0,1.0573017906634632e-05,0.001310615989515072,0.06285698594024605,0.0005310737809271993,007923,46.0,47.431808,19.173804,Kele utca
48.0,1.4852056191184863e-05,0.0008737439930100481,0.058210207766447114,0.001021230860048489,F03685,48.0,47.435611,19.183464,Dobozi utca
48.0,1.4852056191184863e-05,0.0008737439930100481,0.058210207766447114,0.001021230860048489,F03686,48.0,47.435953,19.183412,Dobozi utca
