stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction,clust,max_distance,quant
F02852,Fűrész utca,47.522938,19.113451,,,F02852,2.0,-142.0,1760,82.56068085698129,3
F02853,Fűrész utca,47.522938,19.113451,,,F02852,2.0,38.0,1760,82.56068085698129,3
F02844,Rákospatak utca / Csömöri út,47.524356,19.118207,,,F02844,1.0,-135.0,1761,56.06538371163469,2
F02845,Rákospatak utca / Csömöri út,47.524356,19.118207,,,F02844,1.0,39.0,1761,56.06538371163469,2
F02914,Szentes utca,47.526374,19.116978,,,F02914,2.0,38.0,1762,63.484799049330796,2
F02913,Szentes utca,47.526374,19.116978,,,F02914,2.0,-143.0,1762,63.484799049330796,2
F02791,Mogyoródi út,47.517513,19.129947,,,F02791,1.0,132.0,1763,33.27341219079966,2
F02790,Mogyoródi út,47.517513,19.129947,,,F02791,1.0,-41.0,1763,33.27341219079966,2
F02802,Egressy út / Vezér utca,47.519116,19.127308,,,F02802,1.0,140.0,1764,85.57486694043932,4
008844,Egressy út / Vezér utca,47.519116,19.127308,,,F02802,1.0,-142.0,1764,85.57486694043932,4
F02804,Egressy út / Vezér utca,47.519116,19.127308,,,F02802,1.0,-51.0,1764,85.57486694043932,4
F02803,Egressy út / Vezér utca,47.519116,19.127308,,,F02802,1.0,39.0,1764,85.57486694043932,4
F02801,Turán utca,47.516627,19.12291,,,F02801,1.0,-140.0,1765,109.32059344837394,2
F02800,Turán utca,47.516627,19.12291,,,F02801,1.0,42.0,1765,109.32059344837394,2
F02943,Fűrész utca / Szugló utca,47.520074,19.119223,,,F02943,1.0,-141.0,1766,47.78402978405454,2
F02944,Fűrész utca / Szugló utca,47.520074,19.119223,,,F02943,1.0,37.0,1766,47.78402978405454,2
F02812,Komócsy utca,47.52161,19.122439,,,F02812,1.0,121.0,1767,71.56543995200346,2
F02811,Komócsy utca,47.52161,19.122439,,,F02812,1.0,-50.0,1767,71.56543995200346,2
F02935,Újváros park,47.51483,19.144719,,,F02935,1.0,136.0,1768,41.19224252944889,2
F02934,Újváros park,47.51483,19.144719,,,F02935,1.0,-33.0,1768,41.19224252944889,2
F02781,Zsálya utca,47.516136,19.143195,,,F02781,1.0,132.0,1769,62.10637221721195,3
F02782,Zsálya utca,47.516136,19.143195,,,F02781,1.0,-32.0,1769,62.10637221721195,3
F02780,Zsálya utca,47.516136,19.143195,,,F02781,1.0,-98.0,1769,62.10637221721195,3
F02778,Csertő utca,47.513003,19.146468,,,F02778,1.0,-6.0,1770,38.455677982962044,3
F02779,Csertő utca,47.513003,19.146468,,,F02778,1.0,,1770,38.455677982962044,3
F02777,Csertő utca,47.513003,19.146468,,,F02778,1.0,168.0,1770,38.455677982962044,3
009499,Csertő utca,47.511591,19.147375,,,009499,2.0,45.0,1771,110.15573391096977,5
F02775,Füredi utca / Szentmihályi út,47.511591,19.147375,,,009499,1.0,-30.0,1771,110.15573391096977,5
F02776,Füredi utca / Szentmihályi út,47.511591,19.147375,,,009499,1.0,148.0,1771,110.15573391096977,5
109491,Csertő utca,47.511591,19.147375,,,009499,2.0,44.0,1771,110.15573391096977,5
009498,Csertő utca,47.511591,19.147375,,,009499,2.0,-138.0,1771,110.15573391096977,5
F02785,Fischer István utca,47.515032,19.139741,,,F02785,1.0,,1772,69.2680729679897,3
F02783,Fischer István utca,47.515032,19.139741,,,F02785,1.0,49.0,1772,69.2680729679897,3
F02784,Fischer István utca,47.515032,19.139741,,,F02785,1.0,-129.0,1772,69.2680729679897,3
F02932,Tihamér utca,47.511875,19.139829,,,F02932,1.0,-47.0,1773,34.10916488437218,2
F02933,Tihamér utca,47.511875,19.139829,,,F02932,1.0,130.0,1773,34.10916488437218,2
F02787,Fogarasi út,47.513523,19.137123,,,F02787,1.0,-44.0,1774,111.84126283494003,4
F02788,Fogarasi út,47.513523,19.137123,,,F02787,2.0,132.0,1774,111.84126283494003,4
F02786,Vezér utca / Fogarasi út,47.513523,19.137123,,,F02787,1.0,48.0,1774,111.84126283494003,4
F02789,Vezér utca / Fogarasi út,47.513523,19.137123,,,F02787,1.0,-131.0,1774,111.84126283494003,4
F02938,Gödöllői utca,47.515352,19.133728,,,F02938,1.0,-48.0,1775,58.586622848413626,2
F02939,Gödöllői utca,47.515352,19.133728,,,F02938,1.0,132.0,1775,58.586622848413626,2
F02937,Mályva utca,47.511224,19.132301,,,F02937,1.0,-129.0,1776,85.5102367145272,2
F02936,Mályva utca,47.511224,19.132301,,,F02937,1.0,53.0,1776,85.5102367145272,2
F01863,Fehér úti ipari park,47.49951,19.137564,,,F01863,1.0,-8.0,1778,52.43626431968742,4
F01862,Fehér úti ipari park,47.49951,19.137564,,,F01863,1.0,161.0,1778,52.43626431968742,4
F01861,Fehér úti ipari park,47.49951,19.137564,,,F01863,1.0,171.0,1778,52.43626431968742,4
F01860,Fehér úti ipari park,47.49951,19.137564,,,F01863,1.0,-5.0,1778,52.43626431968742,4
F02969,Tihamér utca,47.506942,19.133449,,,F02969,1.0,-31.0,1780,151.38314876455544,4
F02970,Tihamér utca,47.506942,19.133449,,,F02969,1.0,-41.0,1780,151.38314876455544,4
F02968,Tihamér utca,47.506942,19.133449,,,F02969,1.0,130.0,1780,151.38314876455544,4
F02754,Bánki Donát utca,47.506942,19.133449,,,F02969,1.0,131.0,1780,151.38314876455544,4
F02762,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F02763,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
F02764,Örs vezér tere M+H,47.504556,19.136936,,,F02762,2.0,,1783,551.8945458700932,50
LM2OV1,Örs vezér tere,47.504556,19.136936,LM2OV1,2.0,F02762,1.0,,1783,551.8945458700932,50
LM2OV2,Örs vezér tere,47.504556,19.136936,LM2OV2,2.0,F02762,1.0,,1783,551.8945458700932,50
LM2OVA,Örs vezér tere [A],47.504556,19.136936,LM2OVA,2.0,F02762,2.0,,1783,551.8945458700932,50
LM2OVB,Örs vezér tere [B],47.504556,19.136936,LM2OVB,2.0,F02762,2.0,,1783,551.8945458700932,50
008022,Örs vezér tere M+H,47.504556,19.136936,,,F02762,1.0,,1783,551.8945458700932,50
