stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
F03457,5.691,0.5379,49,2.68,14.821,12.825,3,10,18,9,25,7,18,17,17,3,9,9,8,21,6,13,13,16,3.346,2.345,Rákosliget vasútállomás,47.485035,19.258549,176,0.0001875112517899,0.0009837678307919,0.0564001553570437,0.0,0.1822,0.1554,0.469,0.379,0.119689,0.122696,0.287548,0.26222
F03458,7.66,0.5218,67,4.435,14.852,12.843,3,11,19,9,29,7,21,17,19,2,9,7,5,16,6,11,7,14,3.077,4.583,IV. utca,47.487282,19.259049,175,0.0002270435678247,0.0024594195769798,0.0565130371935286,0.0054130884937527,0.171,0.1707,0.495,0.428,0.119082,0.123382,0.267323,0.243579
F03459,8.523,0.2953,64,3.984,14.827,12.823,3,14,28,13,39,15,27,28,25,2,8,9,5,20,6,13,8,16,3.267,5.256,Rákosliget vasútállomás,47.4865,19.2587,175,0.0002270435678247,0.0024594195769798,0.0565130371935286,0.0054130884937527,0.1777,0.1553,0.48,0.404,0.119872,0.123156,0.279994,0.247537
F03460,5.183,0.6381,43,1.819,15.728,13.698,2,3,9,2,14,8,6,8,1,1,3,9,2,8,5,6,6,1,3.038,2.145,Harsona utca,47.490687,19.270701,182,1.228583512745089e-06,0.0009837678307919,0.0465302572553327,0.0001411116147556,0.1489,0.1822,0.334,0.356,0.133524,0.124139,0.237517,0.202691
F03461,6.414,0.668,54,2.664,15.947,13.93,2,3,10,2,16,9,7,9,1,0,3,7,1,8,3,7,6,1,2.886,3.528,Rákoscsaba-Újtelep vasútállomás,47.488118,19.273595,178,4.79014897392351e-06,0.0014756517461878,0.0486328732387627,0.0045342386180346,0.1542,0.1822,0.359,0.356,0.115699,0.122758,0.236559,0.190892
F03462,5.237,0.72,46,2.116,15.561,13.521,2,3,9,2,13,6,7,8,0,2,3,8,2,8,5,6,5,0,3.103,2.134,Bártfai utca,47.492805,19.268439,181,1.5899963716224691e-06,0.0014756517461878,0.0486398545350144,0.0020545113612717,0.1393,0.1822,0.339,0.356,0.133242,0.124232,0.224069,0.196516
F03463,6.222,0.6843,56,3.244,15.629,13.586,2,10,16,6,22,5,15,13,15,2,3,9,2,8,5,6,5,0,3.196,3.026,Bártfai utca,47.493235,19.269317,181,1.5899963716224691e-06,0.0014756517461878,0.0486398545350144,0.0020545113612717,0.1457,0.1866,0.35,0.378,0.136093,0.123339,0.225609,0.236336
F03464,6.77,0.5904,62,3.677,15.281,13.248,3,11,19,6,24,7,18,15,19,2,3,6,2,10,5,6,6,0,3.136,3.634,Ároktő út,47.491445,19.264758,180,6.691243042492628e-06,0.0009837678307919,0.050986883354651,0.0029747199794394,0.1418,0.1901,0.339,0.449,0.115741,0.123633,0.215928,0.245722
F03465,5.566,0.7139,50,2.242,15.315,13.282,2,9,13,6,19,6,14,9,14,2,3,7,2,8,5,6,5,0,3.08,2.486,Ároktő út,47.491534,19.265209,180,6.691243042492628e-06,0.0009837678307919,0.050986883354651,0.0029747199794394,0.1427,0.1866,0.344,0.378,0.115723,0.124161,0.217621,0.232778
F03466,6.828,0.6226,61,4.42,14.907,12.87,3,11,19,9,27,7,17,16,19,2,3,5,3,10,5,4,5,0,3.286,3.5420000000000003,XVII. utca,47.492156,19.259771,171,3.315816678514133e-05,0.0019675356615838,0.0536227679160182,0.008496064452735,0.1429,0.1872,0.353,0.454,0.115575,0.122666,0.203142,0.246522
