stop_id,weighted_med_inc_multi,weighted_med_inc_walk,percent_change_income,log_change_income,weighted_gini_multi,weighted_gini_walk,percent_change_gini,log_change_gini,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi,entropy_multi,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,entropy_walk,percent_change_entropy,log_change_entropy,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name
1420602,38796.50242566786,52454.586421879634,-26.037921424759862,-0.30161767581810583,0.32812101292779045,0.2996962724327872,9.484515861430367,0.09061294561128853,1410.6101491628272,3015.0713478180496,1674.2804815974862,1.5029601511034059,401.087677841155,1194.7989712410101,997.1008017099206,1.4617842989744503,2.816821343466576,0.027778785392543248,11.913,0.8065,206,9.789,4.234,4.869,97,29,105,6,400,34,869,97,400,1,0,1,0,23,1,8,6,2,1.813,10.1,0.0019979869145926,0.0017152658662092,0.1074734952397088,0.1318509133702332,386,60.188769,25.007153,Kulosaari
1431102,38029.04737163134,43454.9573489964,-12.486285359316712,-0.13337466615609114,0.3274822114315531,0.31237987787275234,4.83460511657946,0.047213732888413774,1283.010478799212,2720.2471188085974,1276.3240986769372,1.4840882942343985,847.5069878605296,2566.361048499398,1278.8941541642125,1.4332274887733214,3.5486903411689448,0.03487175417495855,6.356,0.8787,57,2.679,4.926,4.684,25,6,36,1,197,10,233,45,92,1,3,10,0,109,0,32,9,15,2.482,3.874,0.0001373342448955,0.0017152658662092,0.0956224021174895,0.0049120722682182,319,60.19172,25.02131,Kipparlahti
1431104,38471.96899273084,38254.71398277156,0.5679169632718408,0.005663103946663829,0.32391084213999155,0.31744205130269326,2.037786364708829,0.020173013250801626,1238.5351662111264,2674.3389469399285,1236.7160825493422,1.4795909310439535,913.172592300445,2642.4103870807403,1129.3351279074973,1.4205858175937438,4.153576131722568,0.04069631748776427,13.513,0.8047,153,12.747,5.365,4.549,45,25,91,5,375,23,601,85,215,2,3,10,0,133,1,42,17,17,3.291,10.222,0.0005295351483382,0.0077186963979416,0.1054066972543298,0.1940309525602007,364,60.19447,25.03007,Herttoniem
1431106,39494.33345436611,38193.89184207759,3.404841846611316,0.03348160135946569,0.32123608175855917,0.31738112599577156,1.2146140545354809,0.012072968093005048,1146.5823978599221,2527.32912162465,1188.0004391634527,1.4789348992348545,908.9497688655756,2622.7753119733156,1117.4566847126625,1.4206264077204058,4.104421204446908,0.04022425947494187,13.017,0.7207,156,12.606,5.415,4.559,43,23,88,5,353,22,548,75,207,2,3,10,0,134,1,42,17,17,3.298,9.719,0.0005295351483382,0.0077186963979416,0.1054066972543298,0.1940309525602007,364,60.19456,25.03099,Herttoniem
1431107,39670.615602252474,38233.10814669703,3.759849840195722,0.036908906835122844,0.32055583045163216,0.317469879320921,0.9720453283039308,0.009673513615127631,1152.1375620953875,2513.801946346196,1175.9875583552437,1.4797287080408155,912.2532968220687,2637.3898543814057,1126.576097872093,1.420666476567017,4.157360819586594,0.04073265439757655,12.629,0.7745,144,12.768,5.378,4.528,43,23,87,5,344,22,547,73,207,2,3,10,0,134,1,42,17,18,3.308,9.321,0.0005295351483382,0.0077186963979416,0.1054066972543298,0.1940309525602007,364,60.19473,25.03036,Herttoniem
1431108,38989.2785376662,37879.034267618896,2.9310258075834907,0.028888925570700056,0.32188309015408856,0.3173414954214887,1.4311380005844387,0.014209938902923885,1156.531166798731,2525.7908604299487,1181.2595298691099,1.479555772635118,886.0586241102192,2518.3271370839125,1059.1890517919949,1.4213877658656853,4.0923390623111215,0.040108194824042626,12.398,0.7773,141,11.776,5.44,4.479,43,23,88,5,342,22,551,73,207,2,3,10,0,131,1,41,17,18,3.247,9.151,0.0005295351483382,0.0077186963979416,0.1054066972543298,0.1940309525602007,364,60.19547,25.03161,Herttoniem
1431129,36169.53045125703,34769.936794990834,4.025298246926435,0.039463935946512145,0.3270242445086298,0.31753500089179154,2.9884087077606902,0.029446259090944244,1180.5030220437993,2468.345765595892,976.969099622757,1.4601389602101043,772.0978080911148,1746.5252853000172,564.3408132750544,1.4131028598094582,3.3285687644131166,0.0327437130284647,10.118,0.709,117,6.009,6.183,3.814,26,13,71,5,262,16,297,65,152,0,0,5,1,54,3,18,15,9,3.329,6.789,0.000131488092405,0.0042881646655231,0.1039731058099259,0.1149373786567611,372,60.206496,25.044421,Siiliti
1431130,36103.128130158104,34792.19802730421,3.7678852650387276,0.03698634636235462,0.32513040222713174,0.31707695283267584,2.539903743400037,0.025081841644573066,1151.074954884286,2450.168896833529,950.4176505351287,1.4544197346442085,769.1386132669456,1739.3668535682464,556.3820277971514,1.4112214355310029,3.0610574659356207,0.03015141754181887,10.941,0.7543,132,7.022,6.209,3.858,26,13,72,5,309,17,309,68,155,0,0,5,1,57,3,20,15,9,3.32,7.621,0.000131488092405,0.0042881646655231,0.1039731058099259,0.1149373786567611,372,60.206214,25.044957,Siiliti
1431131,36817.13188031821,34656.96674362708,6.232989611210992,0.06046451122258005,0.32153167814441885,0.31920516982697084,0.7288441846694181,0.007262009510410026,875.0794594860166,1998.0374000939078,749.7607148256424,1.4388999305598378,800.5267017995503,1808.846384119152,600.6346211947961,1.4184007082813612,1.4452349155490007,0.014348909397956173,5.93,0.1159,72,2.919,6.031,3.669,1,7,23,3,139,3,100,36,40,0,0,2,1,54,2,15,14,5,3.33,2.6,2.6504412314692224e-05,0.0034305317324185,0.0953556072978608,0.00766245565968,377,60.206978,25.041517,Kettukuja
1431132,36154.35713987046,34680.27095115753,4.250503667601039,0.04162650602304349,0.3239044679927691,0.3191866663898327,1.4780697628435537,0.0146725276992957,1100.018940802347,2331.562009080098,882.4676650726218,1.4508140197205925,795.2913589951179,1800.1977480558523,599.9997990527891,1.4188402937869051,2.25351127069764,0.022284948400936175,9.441,0.7137,112,7.1,6.008,3.642,22,11,58,5,289,16,257,62,116,0,0,2,1,55,2,14,14,5,3.321,6.120000000000001,2.6504412314692224e-05,0.0034305317324185,0.0953556072978608,0.00766245565968,377,60.207106,25.041061,Kettukuja
