access_diff,gini_diff,walk_sum,weighted_gini_walk,area_difference,ellipticity,distance_betweenness
0,0.00954261128882461,9,0.30648394863973155,10.27,0.3883,3.07
0,0.009112494666376814,9,0.30638428111307725,9.468,0.4161,3.087
0,0.00908473713638075,9,0.3064120386430733,9.48,0.4161,3.079
0,0.01326593243785329,9,0.30615038158067803,6.347,0.6641,3.008
0,0.009137298222391288,9,0.30617188489160535,8.876000000000001,0.4396,3.184
0,0.009598908286033603,9,0.30568016592540237,9.499,0.4482,3.241
0,0.009288444202188828,9,0.3058823057180006,9.071000000000002,0.4015,3.253
0,0.010459402326345957,9,0.30489071325381956,9.078,0.4405,3.198
0,0.011568753891058492,9,0.30465885176860485,9.941,0.4413,3.13
0,0.009636724539097308,9,0.30652638026432266,10.486,0.3828,3.064
0,0.0094007432253711,9,0.30662581670318506,10.254,0.3883,3.058
0,0.009325382482997857,9,0.3067011774455583,10.231,0.3883,3.052
0,0.008849401904965581,9,0.3071771580235906,10.133,0.3883,3.044
0,0.011650840461534584,9,0.30363203706975145,8.850999999999999,0.4365,3.294
0,0.011357012383697629,9,0.3034213055782131,9.018,0.4242,3.307
0,0.009524264324364318,9,0.30555896595636234,8.895,0.4182,3.252
0,0.009555082076235066,9,0.30581126332775455,9.405,0.4215,3.226
0,0.005756803566247637,9,0.3039124453767618,4.315,0.5212,3.443
1,0.009710205397098826,8,0.30454651846427455,11.136,0.4869,3.427
0,0.00592987488421487,9,0.30233409578026443,3.036,0.5447,3.468
1,0.008522567698883321,8,0.3048328849483583,10.727,0.544,3.456
1,0.0045862571555777,8,0.30618189041869803,6.69,0.3943,3.503
0,0.010039438578809234,9,0.3052428357445818,8.838,0.4338,3.256
0,0.010166678716811317,9,0.3055061591412193,9.387,0.4231,3.247
1,0.00650941478559669,8,0.30543730466045815,9.112,0.5109,3.5
0,0.01127198469756141,9,0.3040781308826042,9.077,0.4416,3.198
0,0.01730071707992814,9,0.30359906309656165,5.932,0.7529,3.164
0,0.014611163232020052,9,0.30360023994252583,7.646,0.647,3.177
0,0.01465305128640415,9,0.306299983944636,4.446,0.6449,2.998
0,0.01052799787213421,9,0.3063272419652723,6.238,0.6107,3.023
0,0.009952939217612755,9,0.30439547092400504,7.728,0.4837,3.49
0,0.007181237586458056,9,0.3041057074320133,4.215,0.414,3.545
0,0.009872319387898343,9,0.30557733279945104,9.831,0.379,3.155
0,-0.004080748080653285,9,0.3074394394162351,11.861,0.1772,2.985
0,0.007876548745840928,9,0.30776511355292674,11.137,0.281,2.971
0,0.01212088855216642,9,0.30513407098594325,11.596,0.5153,3.254
