access_diff,gini_diff_exp,gini_diff_house,walk_sum,gini_walk15,area_difference,ellipticity,distance_betweenness
3,-0.013546820329081721,0.03589999999999999,6,0.144713420677209,4.69,0.026,6.936
0,0.001282284361015601,0.020800000000000013,9,0.12247538677821847,2.367,0.4971,6.445
1,-0.02416079445377295,0.014600000000000002,8,0.15256396518523166,1.2680000000000002,0.65,11.045
0,-0.020702856050933915,0.017400000000000027,9,0.15362781117740099,1.4369999999999998,0.6892,11.334
6,0.02876510064882981,-0.01579999999999998,3,0.1257508339060376,0.637,0.3885,11.728
6,0.03122338478837315,-0.0252,3,0.12033615368092802,1.6399999999999997,0.4886,11.423
5,0.03802088532515349,0.008700000000000013,4,0.10827919123109392,1.6190000000000002,0.5201,11.131
1,-0.020935941916520734,0.005599999999999994,8,0.15197458411964632,1.477,0.5852,10.881
2,0.032079202294740275,0.03,7,0.1121277127963324,1.7089999999999996,0.4886,7.427
2,0.01426261831509075,0.039099999999999996,7,0.11250262480421692,0.544,0.6516,7.413
1,-0.010029657125693703,0.015300000000000008,8,0.1483407179543324,2.4680000000000004,0.7005,11.053
2,0.023101669461634708,0.038000000000000006,7,0.11627586204270514,2.2869999999999995,0.3089,7.505
2,0.01200535666561818,0.0403,7,0.117515998238116,0.6300000000000003,0.5835,7.477
2,0.014333572114145515,0.026900000000000007,7,0.12488563307894213,2.503,0.2188,7.347
3,0.0024474657566314895,0.03340000000000001,6,0.12891610406347134,0.613,0.5888,7.35
0,0.003863640740374985,0.005299999999999999,9,0.12139428147627362,2.369,0.4812,6.263
0,0.04775108885796209,0.04279999999999998,9,0.17279724901736854,6.276999999999999,0.5304,3.687
0,-0.017751904885031478,0.030799999999999994,9,0.22039451915790004,2.22,0.5512,3.23
0,-0.02489179004248132,-0.0005999999999999894,9,0.21927566831126355,2.2669999999999995,0.3931,3.251
1,-0.012141540315806582,0.0009000000000000119,8,0.20942830085313427,4.101,0.4807,3.423
0,-0.016849685106056056,-0.006499999999999978,9,0.20652726095656182,3.677,0.1723,3.449
0,0.025434169441837073,0.0605,9,0.1881254507494285,4.140000000000001,0.4256,2.748
0,0.019999092766127935,0.04319999999999999,9,0.18731028463677038,2.5420000000000003,0.7159,2.771
0,0.014361326801653668,0.03899999999999998,9,0.18765355722006713,6.086,0.482,2.44
5,0.02107068605769158,0.017000000000000015,4,0.10728859910286992,3.651,0.5764,8.943
0,-0.02440068426110481,0.012699999999999989,9,0.1793327884220903,8.544,0.4524,5.776
0,-0.020352197573646758,0.0189,9,0.17560590814934446,8.1,0.4445,5.779
1,-0.0016077506601339109,0.016999999999999987,8,0.13769805566108506,3.756,0.6377,10.8
