stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
F03290,Injekcióüzem,47.495937,19.231557,72,72.0,4.898718835004052e-06,0.000983767830791933,0.05094727345629511,0.0010561970478338448
F03291,Injekcióüzem,47.496224,19.231997,72,72.0,4.898718835004052e-06,0.000983767830791933,0.05094727345629511,0.0010561970478338448
F03292,"Árpádföld, Dezsőfia utca",47.536428,19.200793,10,10.0,3.2411295116810876e-08,0.000983767830791933,0.043548110701739355,0.0019665673861598582
F03295,Állás utca,47.529388,19.194076,8,8.0,3.994306099260966e-06,0.001967535661583866,0.04987243646354626,0.0036072863903390626
F03296,Állás utca,47.529171,19.194832,8,8.0,3.994306099260966e-06,0.001967535661583866,0.04987243646354626,0.0036072863903390626
F03297,Állás utca,47.529447,19.19493,8,8.0,3.994306099260966e-06,0.001967535661583866,0.04987243646354626,0.0036072863903390626
F03298,Menyhért utca,47.531616,19.200938,12,12.0,7.987781920114459e-07,0.000983767830791933,0.047506659812123195,0.0009837678307919333
F03299,"Árpádföld, Bekecs utca",47.533585,19.208036,7,7.0,1.2481132109595582e-09,0.0004918839153959665,0.04006227091790486,0.0
F03300,Ostoros út 61.,47.523693,19.208176,1,1.0,1.4184931617125739e-05,0.000983767830791933,0.049661675257102376,0.0016848555409870619
F03301,Ostoros út 40.,47.523187,19.209688,1,1.0,1.4184931617125739e-05,0.000983767830791933,0.049661675257102376,0.0016848555409870619
F03302,Csókakő utca,47.521966,19.214996,16,16.0,7.067306325363031e-05,0.000983767830791933,0.05186224489795918,0.0025625168416124875
F03303,Csókakő utca,47.521794,19.215712,16,16.0,7.067306325363031e-05,0.000983767830791933,0.05186224489795918,0.0025625168416124875
F03304,Cinkota H,47.520403,19.218485,17,17.0,0.00035282607154127235,0.002951303492375799,0.0545625335480408,0.017177532247673964
F03305,Vidámvásár utca,47.519943,19.21924,17,17.0,0.00035282607154127235,0.002951303492375799,0.0545625335480408,0.017177532247673964
F03306,Vidámvásár utca,47.520116,19.219146,17,17.0,0.00035282607154127235,0.002951303492375799,0.0545625335480408,0.017177532247673964
F03308,"Mátyásföld, repülőtér H",47.511604,19.193566,43,43.0,0.02730168177747661,0.001967535661583866,0.06382243988196144,0.02818857583148173
F03309,"Mátyásföld, repülőtér H",47.511514,19.193831,43,43.0,0.02730168177747661,0.001967535661583866,0.06382243988196144,0.02818857583148173
F03311,Pilóta utca,47.505294,19.197889,42,42.0,0.00269306872563193,0.000983767830791933,0.05985925860495245,0.0058803644292430655
F03313,Pilóta utca,47.505527,19.198553,42,42.0,0.00269306872563193,0.000983767830791933,0.05985925860495245,0.0058803644292430655
F03314,Diósy Lajos utca,47.506823,19.204942,34,34.0,0.0005535851477228006,0.000983767830791933,0.05678295114934503,0.0049844839406868536
F03315,Diósy Lajos utca,47.506473,19.204436,34,34.0,0.0005535851477228006,0.000983767830791933,0.05678295114934503,0.0049844839406868536
F03316,Újszász utca,47.509139,19.208291,36,36.0,0.00018173993765633307,0.001967535661583866,0.05416133844842285,0.0043625467438433915
F03317,Újszász utca,47.508905,19.20841,36,36.0,0.00018173993765633307,0.001967535661583866,0.05416133844842285,0.0043625467438433915
F03318,Bökényföldi út,47.508696,19.209381,36,36.0,0.00018173993765633307,0.001967535661583866,0.05416133844842285,0.0043625467438433915
F03319,Bökényföldi út,47.508769,19.209142,36,36.0,0.00018173993765633307,0.001967535661583866,0.05416133844842285,0.0043625467438433915
F03320,Hunyadvár utca,47.512176,19.204251,39,39.0,0.0003172438657438781,0.000983767830791933,0.054126730564430243,0.00016617086756397546
F03321,Hunyadvár utca,47.511879,19.20429,39,39.0,0.0003172438657438781,0.000983767830791933,0.054126730564430243,0.00016617086756397546
F03322,Bökényföldi út,47.514479,19.202973,40,40.0,0.001465731882775641,0.0014756517461878996,0.05704104823096995,0.001094635275100078
F03323,Veres Péter út,47.514093,19.202932,40,40.0,0.001465731882775641,0.0014756517461878996,0.05704104823096995,0.001094635275100078
F03324,Bökényföldi út,47.514192,19.202521,40,40.0,0.001465731882775641,0.0014756517461878996,0.05704104823096995,0.001094635275100078
F03325,Anilin utca,47.513547,19.220096,21,21.0,4.690303711640172e-06,0.000983767830791933,0.04719455858114539,8.75267323782012e-05
F03326,Anilin utca,47.513233,19.219099,21,21.0,4.690303711640172e-06,0.000983767830791933,0.04719455858114539,8.75267323782012e-05
F03327,Vidámvásár utca (Georgina utca),47.518485,19.225994,23,23.0,8.058348805892957e-05,0.002459419576979833,0.05206012650124196,0.006191115568302555
F03328,Georgina utca,47.51824,19.227321,23,23.0,8.058348805892957e-05,0.002459419576979833,0.05206012650124196,0.006191115568302555
F03329,Batthyány Ilona utca,47.519171,19.230258,25,25.0,1.6709684097353986e-05,0.000983767830791933,0.04949482653682288,0.000600579348979274
F03330,"Cinkota, Lassú utca",47.520786,19.227037,24,24.0,1.5517454921831533e-05,0.0004918839153959665,0.049485188520799354,0.0
F03331,Rózsalevél utca,47.52255,19.231438,30,30.0,6.191359437672039e-06,0.000983767830791933,0.04717046799229681,8.151668725865737e-05
