,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
100,8.0,1.359171416002586e-07,0.0016764459346186086,0.06714317874831158,0.005020899317607745,1285163,8,60.22675,24.97256,Veräjänkorva
101,258.0,5.927645941082888e-07,0.0016764459346186086,0.07194548305391388,0.0066889067659782735,1285160,258,60.22494,24.97197,Kirkkoherrantie
102,258.0,5.927645941082888e-07,0.0016764459346186086,0.07194548305391388,0.0066889067659782735,1285161,258,60.22493,24.97096,Kirkkoherrantie
103,660.0,3.1300895067216114e-08,0.0016764459346186086,0.06293521840050643,0.0033500790404878567,1285164,660,60.22964,24.97434,Aidasmäki
104,660.0,3.1300895067216114e-08,0.0016764459346186086,0.06293521840050643,0.0033500790404878567,1285165,660,60.22927,24.9736,Aidasmäki
105,9.0,2.2101901037433297e-06,0.0016764459346186086,0.08805077865525131,0.02453206939574839,1285101,9,60.2313,24.975489,Veräjämäki
106,9.0,2.2101901037433297e-06,0.0016764459346186086,0.08805077865525131,0.02453206939574839,1285102,9,60.231251,24.975103,Veräjämäki
107,489.0,5.997769193131346e-06,0.0016764459346186086,0.08646807276944263,0.024333652646430757,1285103,489,60.228546,24.967892,Oulunkylän asema
108,489.0,5.997769193131346e-06,0.0016764459346186086,0.08646807276944263,0.024333652646430757,1285104,489,60.228763,24.968268,Oulunkylän asema
110,563.0,4.335214612752672e-06,0.0016764459346186086,0.09131965707287201,0.02520390786005072,1383101,563,60.23021,24.99814,Viikinmäki
111,563.0,4.335214612752672e-06,0.0016764459346186086,0.09131965707287201,0.02520390786005072,1383102,563,60.22992,24.99835,Viikinmäki
112,10.0,1.1749257504356608e-09,0.0016764459346186086,0.04909060982635174,0.005020899317607745,1601209,10,60.250312,25.21374,Reelinki
113,10.0,1.1749257504356608e-09,0.0016764459346186086,0.04909060982635174,0.005020899317607745,1601210,10,60.250277,25.214468,Reelinki
114,93.0,2.6152875149763324e-10,0.0016764459346186086,0.04680266771282856,0.0033500790404878567,1601203,93,60.249875,25.220435,Merikapteenintie
115,93.0,2.6152875149763324e-10,0.0016764459346186086,0.04680266771282856,0.0033500790404878567,1601204,93,60.249973,25.21957,Merikapteenintie
116,416.0,5.278284879418065e-09,0.0016764459346186086,0.05160927496106593,0.0066889067659782735,1601201,416,60.250873,25.206712,Skutholminkaari
117,416.0,5.278284879418065e-09,0.0016764459346186086,0.05160927496106593,0.0066889067659782735,1601202,416,60.250832,25.206825,Skutholminkaari
118,11.0,0.008000814024218636,0.004191114836546521,0.06725294548734427,0.004382040918636151,1030102,11,60.16714,24.94234,Erottaja
119,11.0,0.008000814024218636,0.004191114836546521,0.06725294548734427,0.004382040918636151,1030121,11,60.16701,24.94348,Erottaja
120,11.0,0.008000814024218636,0.004191114836546521,0.06725294548734427,0.004382040918636151,1030122,11,60.16749,24.94248,Erottaja
121,11.0,0.008000814024218636,0.004191114836546521,0.06725294548734427,0.004382040918636151,1040437,11,60.1661,24.94215,Erottaja
122,11.0,0.008000814024218636,0.004191114836546521,0.06725294548734427,0.004382040918636151,1040445,11,60.16621,24.94236,Erottaja
123,118.0,0.015083554806265578,0.0075440067057837385,0.06998709374633345,0.05209840428070211,1040102,118,60.164687,24.938413,Fredrikinkatu
124,118.0,0.015083554806265578,0.0075440067057837385,0.06998709374633345,0.05209840428070211,1040130,118,60.17016,24.92995,Fredrikinkatu
125,118.0,0.015083554806265578,0.0075440067057837385,0.06998709374633345,0.05209840428070211,1040401,118,60.1647,24.93812,Fredrikinkatu
126,118.0,0.015083554806265578,0.0075440067057837385,0.06998709374633345,0.05209840428070211,1040438,118,60.16465,24.93775,Fredrikinkatu
127,407.0,0.004387888436709845,0.0016764459346186086,0.06554224810460389,0.0,1040104,407,60.16587,24.94125,Vanha kirkkopuisto
128,461.0,0.014054150790099189,0.00586756077116513,0.07153135867610025,0.01640384925245798,1020101,461,60.170372,24.937328,Lasipalatsi
129,461.0,0.014054150790099189,0.00586756077116513,0.07153135867610025,0.01640384925245798,1020174,461,60.17033,24.93807,Lasipalatsi
130,461.0,0.014054150790099189,0.00586756077116513,0.07153135867610025,0.01640384925245798,1020443,461,60.17023,24.93798,Lasipalatsi
131,461.0,0.014054150790099189,0.00586756077116513,0.07153135867610025,0.01640384925245798,1020444,461,60.17045,24.9377,Lasipalatsi
132,461.0,0.014054150790099189,0.00586756077116513,0.07153135867610025,0.01640384925245798,1020177,461,60.170197,24.937442,Lasipalatsi
133,476.0,0.00273767591766257,0.002514668901927913,0.0653949460066875,0.008018049975577007,1030119,476,60.16522,24.94405,Kolmikulma
134,476.0,0.00273767591766257,0.002514668901927913,0.0653949460066875,0.008018049975577007,1030401,476,60.1653,24.943211,Kolmikulma
135,476.0,0.00273767591766257,0.002514668901927913,0.0653949460066875,0.008018049975577007,1030428,476,60.16516,24.94395,Kolmikulma
136,476.0,0.00273767591766257,0.002514668901927913,0.0653949460066875,0.008018049975577007,1030429,476,60.16505,24.9439,Kolmikulma
137,476.0,0.00273767591766257,0.002514668901927913,0.0653949460066875,0.008018049975577007,1050120,476,60.16477,24.94331,Kolmikulma
138,1098.0,0.005828635960261569,0.004191114836546521,0.06968457943925234,0.014746678583278034,1020446,1098,60.16874,24.94248,Ylioppilastalo
139,1098.0,0.005828635960261569,0.004191114836546521,0.06968457943925234,0.014746678583278034,1020447,1098,60.16886,24.94206,Ylioppilastalo
