,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,clust,max_distance,quant
3220,2629,2629,Camino De Campamento - Villagarcía,,40.40627,-3.75501,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2629&Estado=1&panel=6,,2629,,,1261,21.221406571930324,2
3221,2629,2628,Camino De Campamento - Villagarcía,,40.40627,-3.75501,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2628&Estado=1&panel=6,,2629,,,1261,21.221406571930324,2
3222,878,878,Paseo De Extremadura - Albéniz,,40.41071,-3.73628,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=878&Estado=1&panel=6,,878,,,1263,23.254843283771883,2
3223,878,877,Paseo De Extremadura - Albéniz,,40.41071,-3.73628,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=877&Estado=1&panel=6,,878,,,1263,23.254843283771883,2
3224,876,876,Paseo De Extremadura - Guadarrama,,40.41223,-3.73219,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=876&Estado=1&panel=6,,876,,,1264,24.16477144027469,2
3225,876,875,Paseo De Extremadura - Guadarrama,,40.41223,-3.73219,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=875&Estado=1&panel=6,,876,,,1264,24.16477144027469,2
3226,592,592,Vía Carpetana - Ermita Del Santo,,40.40539,-3.72511,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=592&Estado=1&panel=6,,592,,,1267,119.44451155868342,3
3227,592,617,Vía Carpetana - Ermita Del Santo,,40.40539,-3.72511,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=617&Estado=1&panel=6,,592,,,1267,119.44451155868342,3
3228,592,616,Vía Carpetana - Ermita Del Santo,,40.40539,-3.72511,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=616&Estado=1&panel=6,,592,,,1267,119.44451155868342,3
3229,1670,1670,Rubio Y Galí - Jerónima Llorente,,40.4524,-3.70978,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1670&Estado=1&panel=6,,1670,,,1273,18.582220827157617,2
3230,1670,1671,Rubio Y Galí - Jerónima Llorente,,40.4524,-3.70978,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1671&Estado=1&panel=6,,1670,,,1273,18.582220827157617,2
3231,2400,2400,Rubio Y Galí - Francos Rodríguez,,40.45729,-3.71314,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2400&Estado=1&panel=6,,2400,,,1274,14.462346835861132,2
3232,2400,2401,Rubio Y Galí - Francos Rodríguez,,40.45729,-3.71314,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2401&Estado=1&panel=6,,2400,,,1274,14.462346835861132,2
3233,2398,2398,Rubio Y Galí - Francisco De Diego,,40.45556,-3.7143,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2398&Estado=1&panel=6,,2398,,,1275,27.764407678886503,2
3234,2398,2399,Rubio Y Galí - Francisco De Diego,,40.45556,-3.7143,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2399&Estado=1&panel=6,,2398,,,1275,27.764407678886503,2
3235,4540,4540,Parque De La Constitución,,40.38582,-3.6489,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4540&Estado=1&panel=6,,4540,,,1276,18.89623707467203,2
3236,4540,2074,Parque De La Constitución,,40.38582,-3.6489,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2074&Estado=1&panel=6,,4540,,,1276,18.89623707467203,2
3237,est_4_252,252,ALAMEDA DE OSUNA,Calle de la Corbeta 14,40.45753,-3.58775,A,http://www.crtm.es,1.0,est_4_252,Europe/Madrid,2.0,1277,0.0,2
3238,est_4_252,252,ALAMEDA DE OSUNA,Calle de la Corbeta 14,40.45753,-3.58775,A,http://www.crtm.es,0.0,est_4_252,Europe/Madrid,2.0,1277,0.0,2
3239,est_4_119,119,REPUBLICA ARGENTINA,Calle de Joaquín Costa 24,40.44369,-3.6837,A,http://www.crtm.es,1.0,est_4_119,Europe/Madrid,0.0,1278,0.0,2
3240,est_4_119,119,REPUBLICA ARGENTINA,Calle de Joaquín Costa 24,40.44369,-3.6837,A,http://www.crtm.es,0.0,est_4_119,Europe/Madrid,0.0,1278,0.0,2
3241,est_4_192,192,SANTIAGO BERNABEU,Paseo de la Castellana 97,40.45151,-3.69131,A,http://www.crtm.es,1.0,est_4_192,Europe/Madrid,0.0,1279,0.0,2
3242,est_4_192,192,SANTIAGO BERNABEU,Paseo de la Castellana 97,40.45151,-3.69131,A,http://www.crtm.es,0.0,est_4_192,Europe/Madrid,0.0,1279,0.0,2
3243,est_90_71,193,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69153,A,http://www.crtm.es,0.0,est_90_71,,2.0,1280,7.773025871606769,3
3244,est_90_71,155,NUEVOS MINISTERIOS,Paseo de la Castellana 65,40.44662,-3.69153,A,http://www.crtm.es,0.0,est_90_71,,2.0,1280,7.773025871606769,3
