,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
1836,29,Juzgados Plaza Castilla,40.46508,-3.6892,2815,2815.0,4.155591185300212e-06,0.0008350730688935282,0.05510053835181521,0.0
1837,30,Plaza Castilla,40.46619,-3.68813,2816,2816.0,1.4549915866032071e-05,0.004175365344467641,0.05793420416061926,0.03656215321260437
1838,31,Plaza Castilla,40.46642,-3.68833,2816,2816.0,1.4549915866032071e-05,0.004175365344467641,0.05793420416061926,0.03656215321260437
1839,32,Castellana - Rosario Pino,40.46183,-3.68999,469,469.0,4.642768779087746e-06,0.0016701461377870565,0.055826204517377215,0.010908416002314293
1840,33,Castellana - Rosario Pino,40.46181,-3.68953,469,469.0,4.642768779087746e-06,0.0016701461377870565,0.055826204517377215,0.010908416002314293
1841,34,Cuzco,40.45828,-3.69032,2840,2840.0,1.4023601607942368e-06,0.0016701461377870565,0.0547678938943517,0.010288674031070349
1842,35,Cuzco,40.45985,-3.68972,2840,2840.0,1.4023601607942368e-06,0.0016701461377870565,0.0547678938943517,0.010288674031070349
1843,36,Castellana - San Germán,40.45657,-3.69049,2748,2748.0,6.463464683832067e-07,0.0012526096033402922,0.054158563610872415,0.002868424197316371
1844,37,Castellana - San Germán,40.45572,-3.69011,2748,2748.0,6.463464683832067e-07,0.0012526096033402922,0.054158563610872415,0.002868424197316371
1845,38,Castellana - Rafael Salgado,40.45455,-3.6907,424,424.0,9.866725571557186e-07,0.0012526096033402922,0.05555040126177112,0.0031000711591285296
1846,39,Castellana - Rafael Salgado,40.45454,-3.69023,424,424.0,9.866725571557186e-07,0.0012526096033402922,0.05555040126177112,0.0031000711591285296
1847,40,San Romualdo - Julián Camarillo,40.43756,-3.62094,2739,2739.0,5.626187923285405e-05,0.0008350730688935282,0.061168718394033816,0.0022319291909217507
1848,41,Lima - Santiago Bernabéu,40.45146,-3.69106,484,484.0,3.570343758786657e-06,0.0029227557411273487,0.05757211538461538,0.0112056604511109
1849,42,Lima - Santiago Bernabéu,40.45148,-3.69052,484,484.0,3.570343758786657e-06,0.0029227557411273487,0.05757211538461538,0.0112056604511109
1850,45,Plaza Lima,40.45162,-3.6905,2813,2813.0,1.5285725731478062e-06,0.0008350730688935282,0.05591874854074247,0.0014440835086749603
1851,46,Azca,40.44938,-3.6912,2803,2803.0,5.4803399785639755e-06,0.0008350730688935282,0.05924551638837353,0.006960722851809767
1852,47,Azca,40.44934,-3.69074,2803,2803.0,5.4803399785639755e-06,0.0008350730688935282,0.05924551638837353,0.006960722851809767
1853,48,Nuevos Ministerios - Centro Comercial,40.44656,-3.6915,755,755.0,2.42158974166478e-05,0.0025052192066805845,0.06146068569082324,0.012451470001948151
1854,49,Nuevos Ministerios - Cercanías,40.44536,-3.6917,211,211.0,2.4864645403673052e-05,0.0012526096033402922,0.06055932031961161,2.7453212539973166e-05
1855,50,Nuevos Ministerios - Centro Comercial,40.44682,-3.69101,755,755.0,2.42158974166478e-05,0.0025052192066805845,0.06146068569082324,0.012451470001948151
