,stop_id,walk15_gini,multimodal_gini,median_income_walk,median_income_multimodal
370,1130442,0.314609,0.322041,43783.0,38414.0
371,1130443,0.314547,0.315245,43834.0,42533.0
372,1130444,0.316817,0.319847,43750.0,39779.0
373,1130445,0.317256,0.316882,43643.0,41808.0
374,1130446,0.315194,0.320017,43924.0,39801.0
375,1130447,0.315383,0.317943,43894.0,41751.0
376,1140102,0.314492,0.320519,42829.0,38829.0
377,1140103,0.314787,0.318647,42881.0,40309.0
378,1140104,0.31404,0.318833,41163.0,38800.0
379,1140105,0.314292,0.319168,40977.0,39675.0
380,1140106,0.314916,0.319263,40618.0,39587.0
381,1140107,0.317594,0.318823,40534.0,39161.0
382,1140108,0.318261,0.322612,40474.0,37314.0
383,1140109,0.31508,0.318936,41188.0,39571.0
384,1140110,0.314235,0.321202,41344.0,38473.0
385,1140111,0.314372,0.317146,40801.0,40377.0
386,1140112,0.314026,0.318152,40932.0,40295.0
387,1140113,0.314457,0.314749,40407.0,41350.0
388,1140114,0.314241,0.317866,40519.0,40426.0
389,1140115,0.316882,0.319498,41023.0,38906.0
390,1140116,0.316923,0.319669,40596.0,38664.0
391,1140117,0.317627,0.318728,39209.0,38579.0
392,1140118,0.317328,0.318084,39321.0,38968.0
393,1140119,0.31624,0.321063,42565.0,38647.0
394,1140120,0.315186,0.31994,43261.0,39143.0
395,1140121,0.314436,0.315103,43763.0,41272.0
396,1140122,0.315139,0.320128,42857.0,39011.0
397,1140125,0.317156,0.318129,39475.0,39026.0
398,1140126,0.317183,0.318513,39579.0,38393.0
399,1140127,0.314683,0.319848,42858.0,39120.0
400,1140129,0.313874,0.318268,42225.0,39682.0
401,1140130,0.313818,0.318981,42269.0,39613.0
402,1140131,0.313763,0.318426,41447.0,39522.0
403,1140133,0.314832,0.315118,40657.0,40459.0
404,1140156,0.31306,0.316394,42485.0,40837.0
405,1140157,0.313003,0.314252,42446.0,42746.0
406,1140165,0.313206,0.31685,41587.0,40599.0
407,1140166,0.313164,0.316116,41551.0,41548.0
408,1140196,0.319527,0.322751,40560.0,37724.0
409,1140197,0.31836,0.321742,41272.0,38320.0
410,1140199,0.320795,0.321737,39819.0,38276.0
411,1140205,0.318392,0.320138,41146.0,37985.0
412,1140216,0.316449,0.31907,40710.0,38399.0
