stop_id,gini
1040438,0.312369
1040440,0.311725
1040441,0.313952
1040442,0.315334
1040443,0.315367
1040444,0.313693
1040445,0.310905
1040446,0.314232
1040480,0.315451
1040481,0.318365
1040601,0.317771
1040602,0.317170
1050106,0.314629
1050107,0.308345
1050108,0.314355
1050109,0.308867
1050110,0.308722
1050111,0.306465
1050112,0.308564
1050113,0.309335
1050114,0.314263
1050115,0.309955
1050116,0.307990
1050117,0.310138
1050120,0.309206
1050132,0.312624
1050408,0.309381
1050412,0.308732
1050413,0.310223
1050414,0.309632
1050415,0.309434
1050416,0.308678
1050417,0.308868
1050432,0.313086
1050439,0.314922
1060102,0.310175
1060103,0.308532
1070102,0.305933
1070103,0.303566
1070104,0.303180
1070105,0.304540
1070106,0.302589
1070107,0.304554
1070108,0.304006
1070109,0.304733
1070110,0.305258
1070111,0.305394
1070112,0.305497
1070113,0.302961
1070114,0.305634
1070115,0.305316
1070118,0.309647
1070119,0.306704
1070121,0.307177
1070122,0.304026
1070414,0.306087
1070417,0.304776
1070418,0.303049
1070419,0.305699
1070420,0.303741
1070421,0.306277
1070422,0.304026
1070423,0.308080
1070424,0.306704
1070425,0.307917
1070426,0.312081
1070427,0.313215
1080403,0.297942
1080404,0.302554
1080405,0.298803
1080406,0.301546
1080407,0.298880
1080408,0.301156
1080409,0.299386
1080410,0.297716
1080413,0.297733
1080414,0.298880
1080415,0.296967
1090101,0.304529
1090102,0.302717
1090415,0.304332
1090416,0.302610
1100101,0.322322
1100102,0.321879
1100103,0.320324
1100105,0.320391
1100106,0.324788
1100107,0.320883
1100109,0.319125
1100110,0.323379
1100119,0.321831
1100120,0.325085
1100121,0.323208
1100122,0.320338
1100123,0.321711
1100124,0.323089
1100125,0.324806
1100126,0.324411
1100133,0.325096
1100134,0.323319
1100149,0.322673
1100151,0.322787
1100159,0.323332
1100160,0.320379
1100167,0.323683
1100168,0.330666
1100601,0.322643
1100602,0.321962
1111112,0.322351
1111116,0.320239
1111118,0.321777
1111119,0.321724
1111121,0.321621
1111131,0.325596
1111142,0.321178
1111143,0.321305
1111146,0.322604
1111150,0.320096
1111151,0.321285
1111180,0.321224
1111266,0.321612
1111427,0.321612
1111428,0.321994
1111429,0.321612
1111430,0.320646
1111431,0.325266
1111601,0.321774
1111602,0.319497
1112103,0.322961
1112104,0.323984
1112105,0.323889
1112122,0.325004
1112126,0.321149
1112137,0.324358
1112152,0.324733
1112153,0.324231
1112154,0.324781
1112155,0.324190
1112432,0.322478
1112433,0.327202
1112434,0.324631
1112436,0.324100
1113123,0.327154
1113124,0.327427
1113125,0.326872
1113126,0.326557
1113127,0.322761
1113131,0.322173
1113140,0.324414
1113432,0.325313
1113433,0.323646
1113434,0.325261
1113435,0.324058
1113480,0.327308
1121111,0.328879
1121117,0.326907
1121118,0.328127
1121120,0.327080
1121124,0.322871
1121130,0.323800
1121132,0.323826
1121138,0.328235
1121404,0.326803
1121405,0.327537
1121406,0.324392
1121436,0.322489
1121437,0.322585
1121446,0.325174
1121448,0.326773
1121449,0.326335
1121450,0.325539
1121480,0.327770
1121481,0.324459
1121601,0.322598
1121602,0.320122
1122101,0.325622
1122102,0.325949
1122113,0.328733
1122114,0.327603
1122115,0.324857
1122116,0.327580
1122127,0.323073
1122132,0.328407
1122133,0.326600
1122134,0.328901
1122135,0.326852
1122196,0.329822
1122400,0.331753
1122413,0.324322
