stop_id,gini
1090415,0.300390
1090416,0.300369
1100101,0.323308
1100102,0.325191
1100103,0.326186
1100105,0.327547
1100106,0.328383
1100107,0.328583
1100109,0.317367
1100110,0.317922
1100119,0.329267
1100120,0.329233
1100121,0.327181
1100122,0.327488
1100123,0.317917
1100124,0.319433
1100125,0.328417
1100126,0.327115
1100133,0.325248
1100134,0.325166
1100149,0.322100
1100151,0.322092
1100159,0.329611
1100160,0.329037
1100167,0.327062
1100168,0.328233
1100601,0.324377
1100602,0.324426
1111112,0.323328
1111116,0.321566
1111118,0.323761
1111119,0.322687
1111121,0.316888
1111131,0.326640
1111142,0.322329
1111143,0.321520
1111146,0.323797
1111150,0.321044
1111151,0.323215
1111180,0.321833
1111266,0.324191
1111427,0.323301
1111428,0.323965
1111429,0.322366
1111430,0.322374
1111431,0.326640
1111601,0.323423
1111602,0.323423
1112103,0.326880
1112104,0.329820
1112105,0.329074
1112122,0.327381
1112126,0.327293
1112137,0.327043
1112152,0.330322
1112153,0.330286
1112154,0.331676
1112155,0.331809
1112432,0.327069
1112433,0.331282
1112434,0.330556
1112436,0.333815
1113123,0.330680
1113124,0.331205
1113125,0.333417
1113126,0.333277
1113127,0.327861
1113131,0.330982
1113140,0.327721
1113432,0.327797
1113433,0.328009
1113434,0.330175
1113435,0.331242
1113480,0.334296
1121111,0.333779
1121117,0.334085
1121118,0.333970
1121120,0.333898
1121124,0.330216
1121130,0.330143
1121132,0.330399
1121138,0.333777
1121404,0.334199
1121405,0.333897
1121406,0.333938
1121436,0.330130
1121437,0.330633
1121446,0.330766
1121448,0.333886
1121449,0.333813
1121450,0.333612
1121480,0.334038
1121481,0.333997
1121601,0.331561
1121602,0.331561
1122101,0.330674
1122102,0.330970
1122113,0.331235
1122114,0.331277
1122115,0.329165
1122116,0.329422
1122127,0.327977
1122132,0.332274
1122133,0.332583
1122134,0.333642
1122135,0.333472
1122196,0.333521
1122400,0.333823
1122413,0.331235
1122414,0.331277
1122415,0.329165
1122416,0.329422
1122440,0.332855
1122441,0.333112
1122447,0.330766
1130101,0.313996
1130102,0.314206
1130103,0.314517
1130104,0.314535
1130105,0.310717
1130106,0.315818
1130107,0.314344
1130109,0.315012
1130110,0.314728
1130111,0.310892
1130112,0.317127
1130113,0.311045
1130115,0.317187
1130119,0.316618
1130122,0.314642
1130124,0.316626
1130139,0.313951
1130181,0.315674
1130182,0.315590
1130183,0.317830
1130184,0.317594
1130187,0.317293
1130188,0.317170
1130206,0.315452
1130432,0.312005
1130433,0.311891
1130434,0.315277
1130435,0.315104
1130436,0.311257
1130437,0.311197
1130438,0.314549
1130439,0.313951
1130440,0.314633
1130441,0.314680
1130442,0.314609
1130443,0.314547
1130444,0.316817
1130445,0.317256
1130446,0.315194
1130447,0.315383
1140102,0.314492
1140103,0.314787
1140104,0.314040
1140105,0.314292
1140106,0.314916
1140107,0.317594
1140108,0.318261
1140109,0.315080
1140110,0.314235
1140111,0.314372
1140112,0.314026
1140113,0.314457
1140114,0.314241
1140115,0.316882
1140116,0.316923
1140117,0.317627
1140118,0.317328
1140119,0.316240
1140120,0.315186
1140121,0.314436
1140122,0.315139
1140125,0.317156
1140126,0.317183
1140127,0.314683
1140129,0.313874
1140130,0.313818
1140131,0.313763
1140133,0.314832
1140156,0.313060
1140157,0.313003
1140165,0.313206
1140166,0.313164
1140196,0.319527
1140197,0.318360
1140199,0.320795
1140205,0.318392
1140216,0.316449
1140436,0.318543
1140437,0.318414
1140438,0.315480
1140439,0.316240
1140440,0.316564
1140441,0.315622
1140446,0.316591
1140447,0.316059
1140449,0.315875
1140450,0.319341
1140451,0.319109
1140452,0.323890
1140453,0.323040
1150101,0.319324
1150102,0.319172
1150107,0.318299
1150108,0.317740
1150109,0.319981
1150110,0.319995
1150111,0.316503
1150112,0.316374
1150113,0.315561
1150114,0.315327
1150116,0.320089
1150117,0.319296
1150118,0.320127
1150119,0.316596
1150120,0.317219
1150122,0.316332
1150123,0.316385
1150124,0.314868
1150125,0.314839
1150126,0.313933
1150127,0.313788
1150128,0.318320
1150129,0.318174
1150130,0.318801
1150131,0.319001
1150133,0.319525
1150134,0.319438
1150135,0.318572
1150145,0.318952
1150431,0.319669
1150432,0.319606
1150433,0.319981
1150434,0.320049
1150435,0.316331
1150436,0.316418
1150437,0.315715
1150438,0.315456
1160101,0.320505
1160104,0.320558
1160105,0.318352
1160107,0.319705
1160109,0.317074
1160111,0.318326
1160112,0.318313
1160113,0.318148
1160118,
1160127,0.318721
1160202,0.320460
1160206,0.317693
1160401,0.318929
1160402,0.319035
1160403,0.318583
1160404,0.318610
1160414,0.320441
1160415,0.320477
1171104,
1171105,
