stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1310137,3.624,0.7297,34,1.071,6.216,11.252,12,5,17,4,146,12,112,30,90,428,1,2,5,0,72,2,27,10,7,126,1.995,1.629,1.024665698774453e-06,0.0017152658662092,0.060354408691203,0.0016902362355435,10,60.149985,24.881588,Melkonkuja,0.278381,0.302801,54328.0,47557.0
1310101,4.919,0.8152,60,1.82,4.875,9.945,25,7,25,5,174,14,217,36,150,653,7,3,6,2,90,3,37,15,16,179,2.305,2.6139999999999994,0.0022433453524888,0.0034305317324185,0.0858961731617188,0.0370099477006918,13,60.16126,24.89056,Lauttasaaren silta,0.304216,0.306433,47075.0,46562.0
1310102,6.618,0.8776,102,3.115,4.871,9.937,55,20,60,6,214,22,549,49,288,1263,7,3,6,3,91,2,36,15,17,180,2.322,4.296,0.0022433453524888,0.0034305317324185,0.0858961731617188,0.0370099477006918,13,60.16113,24.89116,Lauttasaaren silta,0.30506,0.310873,46859.0,45149.0
1310139,4.469,0.8257,57,1.306,4.851,9.917,25,7,25,5,160,14,217,36,149,638,7,3,6,3,90,2,37,15,16,179,2.341,2.128,0.0022433453524888,0.0034305317324185,0.0858961731617188,0.0370099477006918,13,60.16131,24.89126,Lauttasaaren silta,0.304925,0.306209,46897.0,46654.0
1310140,2.618,0.6343,21,0.636,5.214,10.289,9,3,8,4,123,4,60,20,32,263,5,2,6,1,110,3,36,14,16,193,2.572,0.0459999999999998,0.0004237433595408,0.0017152658662092,0.0791717265470963,0.0053313604095045,17,60.158869,24.886624,Pajalahdentie,0.293222,0.297848,50063.0,48938.0
1310103,4.276,0.7059,44,2.507,5.113,10.214,12,5,17,4,162,12,112,30,91,445,5,2,6,1,98,3,35,15,15,180,2.513,1.763,0.0004259024647999,0.0017152658662092,0.0792419142479359,0.0106640248838001,18,60.16068,24.88418,Koillisväylä,0.298289,0.303567,48586.0,47295.0
1201131,6.161,0.8803,101,2.447,4.326,9.304,49,17,41,6,204,20,488,47,235,1107,14,2,5,6,63,3,52,21,37,203,2.492,3.669,0.0114197487962924,0.0042881646655231,0.0936419881160232,0.0403244527222177,995,60.16338,24.9044,Salmisaari,0.324577,0.309273,41539.0,45979.0
1201132,8.869,0.8307,164,4.832,4.313,9.284,104,24,88,10,298,51,833,76,485,1969,15,2,8,6,64,3,52,20,38,208,2.504,6.365,0.0114197487962924,0.0042881646655231,0.0936419881160232,0.0403244527222177,995,60.16338,24.90505,Salmisaari,0.324819,0.313584,41461.0,43865.0
1310205,4.428,0.8306,49,1.357,5.548,10.677,19,6,22,4,161,12,142,35,104,505,2,2,7,1,103,3,32,16,15,181,2.961,1.467,3.252288991730427e-05,0.0017152658662092,0.0686073939028005,0.0036758641795486,22,60.159182,24.8747,Lahnalahden p.,0.298137,0.305851,48559.0,46723.0
1310111,3.316,0.6947,29,1.429,5.987,11.123,8,3,8,2,128,3,43,17,17,229,1,2,7,0,78,3,26,11,12,140,2.736,0.5799999999999996,2.270423343107688e-06,0.0017152658662092,0.0604171699959305,0.0011592154437729,24,60.1568,24.86791,Kuikkarinne,0.298944,0.300159,48324.0,48105.0
1310112,3.916,0.6966,43,1.39,5.955,11.091,9,3,9,4,147,4,62,23,33,294,1,2,7,0,86,3,29,14,14,156,2.82,1.096,2.270423343107688e-06,0.0017152658662092,0.0604171699959305,0.0011592154437729,24,60.15688,24.86863,Kuikkarinne,0.297996,0.301363,48600.0,47857.0
1310124,2.643,0.8291,19,0.818,5.507,10.657,9,3,8,4,102,4,54,19,32,235,1,2,5,1,81,2,20,12,12,136,2.83,-0.1870000000000002,3.1404814386012334e-05,0.0017152658662092,0.0685871461770589,0.0073655822947263,15,60.16161,24.8697,Lahnalahdentie,0.304901,0.306357,46584.0,46481.0
1310225,4.619,0.8428,54,1.385,5.496,10.644,25,7,25,5,165,14,217,36,150,644,2,2,6,1,85,3,22,12,12,145,2.885,1.734,3.1404814386012334e-05,0.0017152658662092,0.0685871461770589,0.0073655822947263,15,60.1614,24.87051,Lahnalahdentie,0.304404,0.306302,46729.0,46615.0
1310105,4.32,0.7102,46,2.507,5.27,10.39,12,5,17,4,162,12,112,30,91,445,2,2,7,1,94,3,31,16,15,171,2.717,1.6030000000000002,0.000172172733379,0.0042881646655231,0.0735957584730972,0.0197699096865028,20,60.16055,24.87946,Lauttasaarentie,0.298845,0.303876,48356.0,47215.0
1310106,5.216,0.8468,66,1.75,5.239,10.35,33,15,32,5,173,14,388,36,182,878,2,2,6,1,96,3,33,16,15,174,2.656,2.56,0.000172172733379,0.0042881646655231,0.0735957584730972,0.0197699096865028,20,60.160291,24.881229,Lauttasaarentie,0.297983,0.307095,48628.0,46425.0
1310601,10.698,0.7006,218,7.742,5.407,10.524,139,28,111,16,318,68,1067,97,585,2429,2,2,6,1,107,3,32,17,15,185,2.812,7.886000000000001,0.0076510073718622,0.0017152658662092,0.0932512182434581,0.001712321203778,19,60.159362,24.87857,Lauttasaari,0.296501,0.317886,49037.0,42232.0
1310602,5.024,0.8402,104,2.171,5.402,10.519,73,20,67,5,163,30,668,44,349,1419,2,2,6,1,106,3,32,16,15,183,2.827,2.197,0.0076510073718622,0.0017152658662092,0.0932512182434581,0.001712321203778,19,60.159443,24.8785,Lauttasaari,0.296906,0.319511,48919.0,41591.0
