stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,Unnamed: 27,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
1056,5.687,0.342,80,1.729,4.708,5.526,3,47,39,2,211,10,66,45,65,2,28,16,0,171,8,16,27,24,3.297,2.39,2759,Fuente Carrantona - Luis De Hoyos,40.4034,-3.63439,1517,0.0001915313259813,0.0024283632831471,0.098615834091671,0.0083362175221619,29.074337,29.173757,39054.0,37600.0
1057,6.389,0.4833,111,2.697,4.674,5.511,2,56,53,3,243,16,82,55,78,2,29,18,0,171,8,17,27,24,3.291,3.0980000000000003,2760,Fuente Carrantona - Luis De Hoyos,40.40335,-3.6348,1517,0.0001915313259813,0.0024283632831471,0.098615834091671,0.0083362175221619,29.128148,29.199018,38699.0,36174.0
1058,5.549,0.4166,75,1.491,4.947,5.345,2,42,36,4,210,11,62,45,51,1,18,10,0,145,4,13,21,16,3.204,2.345,2761,Fuente Carrantona - García Tapia,40.40716,-3.63134,1547,0.0009461421123958,0.0019426906265177,0.1074859051994153,0.0154118561154048,28.831306,29.091342,42973.0,37777.0
1059,5.876,0.4048,93,2.184,4.908,5.3,3,46,45,3,223,14,71,52,70,1,19,10,0,145,4,13,19,18,3.207,2.6690000000000005,2762,Fuente Carrantona - García Tapia,40.4074,-3.6318,1547,0.0009461421123958,0.0019426906265177,0.1074859051994153,0.0154118561154048,28.882288,29.238741,42526.0,37765.0
1060,3.083,0.7892,39,0.51,6.102,6.261,1,21,12,1,102,9,26,34,14,3,17,22,2,100,7,40,22,23,3.473,-0.3899999999999997,2763,Plaza Alosno,40.40553,-3.61775,510,0.0001673236487532,0.0014570179698882,0.0976616231086657,0.0009903917845586,29.461832,29.326473,33845.0,32816.0
1061,2.982,0.7732,31,0.505,6.072,6.216,1,21,13,0,123,8,25,26,20,3,17,22,1,102,7,35,20,25,3.399,-0.4169999999999998,2764,Plaza Alosno - Camino Viejo Vicálvaro,40.40583,-3.6181,510,0.0001673236487532,0.0014570179698882,0.0976616231086657,0.0009903917845586,29.463923,29.444048,34286.0,34690.0
1062,4.316,0.2955,59,1.067,6.225,6.355,1,26,30,3,163,9,45,31,34,3,17,20,1,90,7,32,21,23,3.43,0.8859999999999997,2765,Plaza Alosno,40.40546,-3.61631,513,7.15447787729875e-05,0.0014570179698882,0.0907688238405924,0.0004580956272102,29.267033,29.509128,32956.0,36267.0
1064,4.869,0.6206,85,1.182,6.346,6.298,1,26,28,3,129,9,46,36,30,3,15,13,1,58,7,22,21,10,2.985,1.884,2766,Avenida De Daroca - Casalarreina,40.40748,-3.61484,508,0.0046666438990552,0.0024283632831471,0.119051749060422,0.0260867635292952,29.415044,28.754546,30039.0,35020.0
1065,3.167,0.4239,51,0.861,6.362,6.288,1,20,17,2,52,8,27,32,14,3,14,12,1,55,7,22,20,10,2.974,0.1929999999999996,2767,Avenida De Daroca - Casalarreina,40.40778,-3.61466,508,0.0046666438990552,0.0024283632831471,0.119051749060422,0.0260867635292952,29.434015,28.937586,30002.0,31485.0
1066,4.142,0.5987,78,1.05,6.495,6.497,1,23,27,3,122,8,45,33,28,3,15,14,1,57,7,23,22,11,3.105,1.0370000000000004,2768,Avenida De Daroca - Calahorra,40.40627,-3.6131,507,0.0010882522532677,0.0024283632831471,0.1067946058091286,0.0037462042816416,29.149362,29.259532,30364.0,33833.0
