,stop_id,walk15_gini,multimodal_gini,income_walk,income_multimodal
1428,2442,32.723206,32.809127,28535.0,28876.0
1429,2443,32.701319,32.60168,28405.0,29460.0
1430,2444,32.625613,32.591828,28596.0,29334.0
1431,2445,32.716206,32.730262,28564.0,29262.0
1432,2446,32.710791,32.527376,28792.0,29585.0
1433,2447,32.711551,32.731453,28743.0,29316.0
1434,2448,32.775975,32.192224,29041.0,29837.0
1435,2449,32.821605,32.750453,28902.0,29086.0
1436,245,30.570561,31.511482,29698.0,32642.0
1437,2450,32.803191,31.835246,29502.0,30078.0
1438,2451,32.747817,32.575374,29564.0,29464.0
1439,2452,32.677069,31.369125,29875.0,31011.0
1440,2453,32.333,31.364505,30157.0,31027.0
1441,2454,32.39696,31.405486,30011.0,30929.0
1442,2455,32.661344,31.500447,29887.0,30680.0
1443,2456,32.030664,31.155229,29324.0,31652.0
1444,2457,31.947506,31.804192,29329.0,30145.0
1445,2458,31.441615,31.259511,30122.0,31358.0
1446,2459,31.378732,31.710403,30183.0,30164.0
1447,246,30.105211,30.156517,29458.0,30538.0
1448,2460,31.730615,31.148378,30520.0,31532.0
1449,2461,31.718206,31.230881,30522.0,31426.0
1450,2462,31.554997,31.155664,30893.0,31559.0
1451,2463,31.5384,31.167085,30924.0,31506.0
1452,2464,33.057885,33.086348,28561.0,28204.0
1453,2465,33.123803,33.210328,28436.0,27811.0
1454,2466,33.249592,33.210328,28398.0,27811.0
1455,2467,33.251616,33.17021,28149.0,28159.0
1456,2468,33.231082,33.106435,28197.0,28029.0
1457,2469,33.222734,33.209527,28416.0,27972.0
1458,247,30.13273,31.227423,29483.0,31678.0
1459,2470,33.150185,33.205159,28424.0,28544.0
1460,2471,33.194758,33.390904,28395.0,28137.0
1461,2472,33.17057,33.337728,28522.0,28428.0
1462,2475,32.831564,32.75723,45709.0,39300.0
1463,2476,33.147532,34.920457,48030.0,50295.0
1464,2477,32.298,32.854863,40587.0,40001.0
1465,2478,32.268066,33.616214,40654.0,43098.0
1466,248,29.871489,30.944735,29246.0,31099.0
1467,2480,35.215612,35.502278,48018.0,48498.0
1468,2481,35.271344,35.315107,47900.0,47130.0
1469,2482,35.3399,35.494783,47467.0,46736.0
